4700000;68883;31.3;30.0;0.938;7.06;80.30;324.9;69231;7.8;7.8;5335;-999;-999;19;8.1;69.6;31.90;1;1;1.02;1.3;1.6;1.430;1.55;79.00;79.00;87.70;76.10;80.40;70.00;22.2
9000000;20330;42.8;28.8;0.903;7.33;66.50;300.6;35179;2.6;7.4;2819;5.7;2154;16;5.6;51.8;40.10;1;3;-0.88;1.4;1.3;1.020;0.83;83.10;61.20;78.20;60.90;72.20;70.00;27.5
61000000;294140;31.9;28.1;0.880;6.20;69.10;2234.5;36833;0.8;9.0;3351;4.1;1443;16;11.5;24.1;50.30;1;1;0.24;0.5;0.7;0.320;0.19;60.90;40.10;71.20;55.20;62.50;50.00;31.0
2800000;10831;35.0;36.9;0.732;5.89;49.70;25.4;8976;1.1;5.9;511;6.0;292;-999;13.3;77.2;27.60;2;3;0.25;0.5;0.1;-0.160;-0.17;56.60;39.40;60.90;80.00;69.10;50.00;17.5
127000000;364485;37.9;28.3;0.909;5.91;75.20;5237.8;41275;0.5;10.9;4405;3.6;1368;15;3.1;54.1;39.10;1;1;1.12;1.6;1.4;1.570;1.52;73.20;79.20;86.00;67.40;72.30;60.00;9.3
10000000;88802;39.7;-999;0.735;4.81;48.70;85.6;12278;2.5;6.3;568;-999;-999;13;13.2;69.4;32.00;5;5;-0.53;0.1;0.1;0.260;0.26;57.30;51.90;57.60;92.40;64.90;60.00;15.4
18000000;2699700;26.3;19.1;0.800;5.88;57.70;451.3;25145;1.2;3.9;903;-999;-999;15;5.2;85.3;22.20;7;5;0.02;0.0;0.2;-0.410;-0.82;58.10;44.60;56.00;92.60;69.10;50.00;27.1
50000000;569140;48.5;24.2;0.590;4.48;35.40;152.8;3361;5.6;5.2;157;5.3;70;11;11;77.5;27.40;4;4;-1.08;-0.3;-0.2;-0.410;-0.96;44.00;27.50;47.90;78.50;54.70;50.00;21.8
100000;811;-999;-999;0.612;-999;-999;0.2;1823;4.2;7.6;152;-999;-999;12;-999;0;117.60;1;1;0.9;-0.3;-0.8;0.530;0.39;35.30;37.90;45.00;72.40;50.80;30.00;6.5
25000000;120408;-999;-999;-999;-999;-999;15.1;-999;1;-999;-999;-999;-999;11;4.3;0;-999;7;7;-0.48;-1.7;-2.3;-1.710;-1.48;5.00;25.20;29.80;0.00;5.80;0.00;16.3
51000000;96920;35.7;24.8;0.903;5.87;-999;1934.0;37740;2.6;7.4;-999;5.1;1406;17;3.7;68.8;32.30;2;2;0.29;1.1;1.1;1.160;0.48;63.70;49.90;79.40;73.30;73.80;70.00;17.0
1900000;10887;23.2;-999;-999;6.15;-999;18.4;9600;3.3;-999;-999;-999;-999;-999;-999;77.9;27.10;3;4;-0.21;-0.4;-0.1;-0.420;-0.50;59.00;45.40;52.30;93.20;66.60;30.00;-999
4200000;17818;-999;-999;0.803;6.09;65.70;303.7;71887;0.9;4.0;2978;-999;-999;13;2.4;20.5;51.50;5;5;-0.04;-0.2;-0.1;0.100;-0.33;53.50;36.60;52.00;97.70;62.20;60.00;3.1
6000000;191801;33.4;33.1;0.672;5.63;45.40;21.5;3521;3.5;8.2;287;5.5;71;13;7.7;58.2;37.30;5;5;-0.43;-0.7;-0.4;-0.930;-1.05;22.10;29.40;50.20;93.80;62.80;50.00;19.2
7000000;230800;36.7;-999;0.601;4.62;37.80;40.9;5710;7;2.8;-999;2.9;59;11;1.5;79.3;26.30;7;6;0.43;-0.4;-0.7;-0.880;-0.94;41.40;33.10;34.10;86.70;53.60;20.00;27.5
2000000;62249;34.5;17.1;0.847;6.09;66.10;50.6;25710;2.7;5.8;1429;5.3;828;16;9.9;59;37.00;2;2;0.46;0.9;1.2;0.930;0.54;58.90;45.40;68.30;84.00;73.60;60.00;16.0
4600000;10230;-999;21.9;0.757;5.15;44.80;85.2;18525;1;7.4;1117;-999;-999;11;6.8;78.2;26.90;6;4;-1.59;-0.5;-0.3;-0.820;-1.00;33.60;20.20;39.70;91.90;53.20;50.00;3.1
1900000;30355;63.2;16.7;0.520;-999;29.50;7.0;3601;2.5;8.4;251;-999;-999;11;27.4;23.8;50.40;3;3;-0.25;-0.9;-0.3;-0.270;-0.03;52.70;32.90;49.40;48.20;53.90;40.00;22.9
